Year,wisdom,genius,intellect,consciousness,intuition,imagination,soul,reasoning,judgment,discernment,algorithm,software,database,optimization,automation,computer,processor,artificial intelligence,computer program,data processing,machine learning,neural network,deep learning
1960,3.498125308939533e-05,1.39622473837245e-05,4.959081057233128e-06,4.089237208174967e-06,2.321038042901595e-06,1.8601883185482488e-05,3.797874863000032e-05,5.608451540322577e-06,1.8601883185482488e-05,3.1017910229443454e-07,1.1120261709374492e-07,1.5805050955297407e-06,3.3622123909550976e-07,1.8858620389167753e-06,9.80105973372376e-07,3.731630473068853e-06,2.0533150415424491e-07,6.592553050030925e-08,3.7484502531023874e-07,8.010595314040158e-07,7.109832136943953e-08,2.4426311868555118e-08,6.749804835796053e-09
1961,3.3358247829393795e-05,1.3580562455206352e-05,4.953306145297972e-06,3.7500625075491348e-06,2.4158174962794283e-06,1.8815024786920717e-05,3.51631462078682e-05,4.970047443047614e-06,1.8815024786920717e-05,2.7612585485487697e-07,1.3048785996352543e-07,5.8935277867380945e-08,0.0,2.2746955510123888e-06,8.665766393209026e-07,6.247111747114405e-06,3.2668967004321873e-07,4.816788480563821e-08,3.5284616033718373e-07,7.167920357583164e-07,5.6722660984850775e-08,4.155488653218864e-08,1.2444412018021019e-08
1962,3.244319666883427e-05,1.2699164525537086e-05,4.968638039417365e-06,3.830447805199538e-06,2.252382634192125e-06,1.893527329683693e-05,3.549208359458919e-05,4.935753417171984e-06,1.893527329683693e-05,3.186403499955e-07,6.563572130586112e-08,3.145277822217766e-07,5.080709725225347e-07,1.8651686627190825e-06,9.13563778926027e-07,6.030869771440527e-06,2.8742108926639196e-07,2.3065721880605975e-08,4.1037322371369427e-07,9.72375204515083e-07,1.0782494224820567e-07,2.4984881008264845e-08,8.93087422223549e-09
1963,3.316713236089922e-05,1.316706797556271e-05,5.316940821681652e-06,4.078367386443797e-06,2.2432066079916853e-06,1.8616470199525653e-05,3.482514249084341e-05,4.966246231450091e-06,1.8616470199525653e-05,3.2703369005056726e-07,4.432490403583863e-08,1.5821586767078278e-06,5.123566880398268e-07,1.862298016108521e-06,9.581097316851544e-07,3.935484766303752e-06,1.2533865912035779e-07,9.768184282859275e-08,4.1311921816085654e-07,9.032387503885649e-07,5.475541167668943e-08,5.2494453003383614e-08,2.6300494250388174e-09
1964,3.2361239508544464e-05,1.3893572525117644e-05,4.97029225723083e-06,4.076954427331046e-06,2.229493206720018e-06,1.80056725218793e-05,3.498293704629099e-05,5.3248687336978395e-06,1.80056725218793e-05,3.0488080005909204e-07,1.835292385608998e-07,2.0889706976345443e-06,4.400537581840771e-07,2.0213393384063956e-06,9.250864884912133e-07,4.315840325863749e-06,4.0693508909871543e-07,6.417310540340386e-08,5.025963698241603e-07,1.1057892369863353e-06,9.054454494033559e-08,5.3841422332801383e-08,3.285178485491658e-09
1965,3.218688884155083e-05,1.355147587837757e-05,4.929377367760836e-06,3.983794894019684e-06,2.216739027895726e-06,1.893187647063918e-05,3.555099348753532e-05,4.947766921582935e-06,1.893187647063918e-05,3.0836585202100127e-07,1.7647147915028817e-07,1.1850943373627592e-06,3.8903993063607675e-07,1.7963760125183955e-06,1.095000318247853e-06,6.423914852880483e-06,3.4459815199723986e-07,9.147661761552237e-08,5.638612762143458e-07,9.524573697731135e-07,9.606961670408829e-08,2.454275476133711e-08,9.352436940748697e-09
1966,3.159082799272151e-05,1.362453238198839e-05,5.376511888447426e-06,3.6371422770998455e-06,2.4537985893748946e-06,1.7908129135102312e-05,3.483243026748908e-05,4.9586007779487e-06,1.7908129135102312e-05,3.4300167660072464e-07,1.590926018110464e-07,1.7863448628067807e-06,9.643257832187755e-07,2.377435170446423e-06,1.1298476264074404e-06,7.213776064417901e-06,4.1042725233407804e-07,5.1071897588438096e-08,5.249207552172574e-07,1.332464555655585e-06,9.956719954293887e-08,4.751142913688341e-08,0.0
1967,3.115922684419598e-05,1.376266643980281e-05,4.710559421920322e-06,4.269631405368213e-06,2.393813849367768e-06,1.7803446910995758e-05,3.431899212193281e-05,5.0168938830715185e-06,1.7803446910995758e-05,2.896232353424035e-07,8.691283498778573e-08,2.8175160479209336e-06,4.6351549100020515e-07,2.1857272583749507e-06,1.1742120886386964e-06,7.189660993334346e-06,5.84563299221078e-07,6.478794997669364e-08,5.951627060427678e-07,1.4428399036674285e-06,7.188791485187148e-08,3.5758521239061536e-08,0.0
1968,3.172273958021143e-05,1.3284862594304133e-05,4.954192977034152e-06,4.499996431821963e-06,2.3450301073988242e-06,1.8742040739333535e-05,3.4802915126526474e-05,4.826339828447463e-06,1.8742040739333535e-05,3.622903655620217e-07,1.915612944769161e-07,2.4220303670195245e-06,1.0023514867965184e-06,2.593544404030345e-06,1.1005630265705504e-06,7.334885325318803e-06,4.300415889940211e-07,8.982290790657071e-08,6.114967004626415e-07,1.4923883802628177e-06,1.0262361066203688e-07,6.321684720323852e-08,3.8187174018524605e-09
1969,3.2402611685758346e-05,1.2718670868420131e-05,4.922409252086491e-06,4.744520561016104e-06,2.456198879945434e-06,1.88163181732667e-05,3.263207412061133e-05,4.681097610695547e-06,1.88163181732667e-05,3.227590343497517e-07,1.7441268985718678e-07,3.567244227988451e-06,1.0200653934515828e-06,2.593651822399097e-06,1.1513909438507298e-06,6.861383586579853e-06,6.302925700639161e-07,5.918184065403538e-08,6.298018504077052e-07,1.3213973747834982e-06,1.4039949290378267e-07,6.984037940360807e-08,0.0
