Year,GBR,NLD,FRA,BEL,SWE,DEU,ESP,PRT,POL,ITA,CHN,IND,JPN
1749,2681.0,3844.9197860962563,1704.6577992208875,2169.46,1444.0,1738.2494713454962,1243.3556004914142,2028.87224449,1065.0,2484.7973462053214,1070.925,1069.88,957.1465517241379
1750,2702.0,3777.1836007130123,1743.4981712989377,2169.0,1554.0,1761.938157955625,1295.7756980555523,2184.4487403375,1079.0,2485.13651559517,1061.25,1068.0,953.0
1751,2627.0,4046.345811051693,1752.85319149451,2172.048387096774,1506.0,1785.4754976175388,1281.9270945001288,2159.1162918325,1095.0,2485.4756849850187,1057.325,1067.313725490196,960.28
1752,2738.0,3885.026737967914,1727.1701413980954,2175.0967741935483,1495.0,1786.814341847232,1403.8407802371078,2209.53466825,1105.0,2486.069231417254,1053.4,1066.6274509803923,967.56
1753,2743.0,4217.468805704099,1932.1813877887644,2178.1451612903224,1530.0,1777.471350735079,1229.6269657147157,2190.0059363,1111.0,2486.662777849489,1049.475,1065.9411764705883,974.84
1754,2648.0,4048.1283422459887,1819.1097286026456,2181.1935483870966,1522.0,1762.1642558466162,1386.268063069553,2166.415733755,1070.0,2487.2563242817246,1045.55,1065.2549019607843,982.12
1755,2710.0,3920.6773618538323,1940.9264089010371,2184.2419354838707,1454.0,1770.2442256112477,1377.7696576238202,2172.924612495,1070.0,2487.8498707139597,1041.625,1064.5686274509803,989.4
1756,2643.0,3578.431372549019,1971.736703475734,2187.2903225806454,1387.0,1732.9696474524571,1382.4740801499001,2010.4025537050002,1054.0,2488.443417146195,1037.7,1063.8823529411766,996.68
1757,2783.0,3984.8484848484845,1871.188023187111,2190.3387096774195,1364.0,1707.863927075706,1445.3621680000435,1987.8309539724999,1042.0,2489.03696357843,1033.775,1063.1960784313726,1003.96
1758,2815.0,3887.700534759358,1837.174690111955,2193.3870967741937,1597.0,1709.4213280141173,1391.9096124877185,1976.5295579575,1036.0,2489.630510010665,1029.85,1062.5098039215686,1011.24
1759,2850.0,3786.0962566844914,1799.904299162221,2196.435483870968,1588.0,1773.6426463551877,1395.1840141254256,2039.6055256850002,1028.0,2490.2240564429003,1025.925,1061.8235294117646,1018.52
1760,2915.0,3963.4581105169336,1843.02810747791,2199.483870967742,1669.0,1773.7021224590533,1424.9403025855422,2151.8284305700004,1019.0,2490.817602875136,1022.0,1061.137254901961,1025.8
1761,3011.0,3975.935828877005,1912.1753841878995,2202.532258064516,1608.0,1755.0459817990366,1385.7856495458718,2186.7761026475,1011.0,2491.411149307371,1016.8333333333334,1060.450980392157,1033.08
1762,2917.0,4032.9768270944737,2020.1148519370277,2205.5806451612902,1444.0,1651.1967470956336,1314.106476224776,2028.034700965,1004.0,2492.004695739606,1011.6666666666666,1059.764705882353,1040.36
1763,2914.0,4311.942959001782,2002.9077027371657,2208.6290322580644,1573.0,1683.4457925885283,1237.6923342091739,1984.7086284025002,991.0,2492.5982421718413,1006.5,1059.078431372549,1047.64
1764,2898.0,4327.094474153298,1884.9619495246807,2211.6774193548385,1422.0,1731.1179295441198,1289.0787673321327,2032.9490365275,985.0,2493.1917886040765,1001.3333333333334,1058.3921568627452,1054.92
1765,2853.0,4880.570409982174,1831.7267005147655,2214.7258064516127,1484.0,1719.3860538646263,1295.95083698876,2036.0681962075003,979.0,2493.785335036312,996.1666666666666,1057.7058823529412,1062.2
1766,2879.0,4359.180035650624,1848.974463219248,2217.7741935483873,1533.0,1746.6333221294253,1313.6808928210214,2021.2111872224998,974.0,2494.378881468547,991.0,1057.0196078431372,1069.48
1767,2891.0,4188.057040998217,1778.1849489515198,2220.8225806451615,1557.0,1764.5777337642205,1269.2552293785593,2080.48801051,976.0,2494.9724279007823,992.75,1056.3333333333333,1076.76
1768,2911.0,4307.486631016042,1726.5977344787586,2223.8709677419356,1473.0,1770.3537406541109,1290.1144987905104,1863.3380563525002,982.0,2495.5659743330175,994.5,1055.6470588235295,1084.04
1769,3056.0,4553.475935828877,1690.631206155996,2226.9193548387098,1471.0,1758.9304627461927,1296.6642995112034,1822.68570848,982.0,2496.1595207652526,996.25,1054.9607843137255,1091.32
1770,2952.0,4340.4634581105165,1578.4601254133909,2229.967741935484,1454.0,1709.9960213421436,1332.3211795574293,1941.3525021799999,982.0,2496.753067197488,998.0,1054.2745098039215,1098.6
1771,2989.0,4721.033868092692,1596.4890332781074,2233.016129032258,1341.0,1595.9061844211299,1335.9158990431324,1909.6466457249999,976.0,2497.3466136297234,996.3,1053.5882352941176,1105.88
1772,2890.0,4799.465240641711,1679.060364557696,2236.064516129032,1283.0,1604.2036409378854,1326.2481290234507,1916.4071936100001,974.0,2497.9401600619585,994.6,1052.9019607843138,1113.16
1773,2920.0,4561.497326203208,1729.908990764303,2239.1129032258063,1468.0,1707.917880570317,1353.3572763138188,1927.2372144024998,974.0,2498.5337064941937,992.9,1052.2156862745098,1120.44
