Year,fire engine,steam engine,coal barge,coal wharf,coal boat,coal trade,canal boat,coal waggon,coal cart,coal owner,sea coal,coal field,steam boat,steam power,water carriage,land carriage
1776,2.1538034796922796e-07,2.7077019991241158e-08,0.0,2.7694628178055935e-09,0.0,2.456137561271784e-07,0.0,9.371728789834118e-10,8.041571852857032e-10,9.031633853494116e-10,2.628184146504152e-09,0.0,1.866299432456182e-09,3.599583171214655e-09,1.5064396917198663e-07,2.7918260668359706e-07
1777,2.116886178730023e-07,2.2456163404984053e-08,0.0,2.775656847221951e-09,0.0,2.65484668407875e-07,0.0,9.371728789834118e-10,8.041571852857032e-10,9.031633853494116e-10,3.563504729393279e-09,0.0,9.371728789834118e-10,1.741330064269115e-09,1.7317218643191673e-07,3.4953605165810586e-07
1778,2.0853600573340308e-07,2.3633690813897246e-08,0.0,2.775656847221951e-09,0.0,2.504005475348744e-07,0.0,9.371728789834118e-10,8.041571852857032e-10,2.1535450629122417e-08,3.563504729393279e-09,0.0,9.371728789834118e-10,1.741330064269115e-09,1.6504811181253638e-07,2.9876252532241257e-07
1779,2.2033642948266724e-07,1.8004590580338638e-08,0.0,2.775656847221951e-09,0.0,2.393331562140182e-07,0.0,9.371728789834118e-10,0.0,2.1535450629122417e-08,3.563504729393279e-09,0.0,9.371728789834118e-10,9.371728789834118e-10,1.99180625770623e-07,3.1531676622112824e-07
1780,1.5692350707752212e-07,1.9488300877818735e-08,2.3292159312404692e-09,2.775656847221951e-09,0.0,2.2526856570591137e-07,0.0,9.371728789834118e-10,0.0,2.3088261334537818e-08,1.872493461872539e-09,0.0,9.371728789834118e-10,9.371728789834118e-10,1.9500200514650195e-07,2.8958590446239084e-07
1781,1.721855326256413e-07,2.515459853112491e-08,2.3292159312404692e-09,2.775656847221951e-09,0.0,2.4776789940363285e-07,0.0,9.371728789834118e-10,0.0,2.3088261334537818e-08,1.872493461872539e-09,0.0,9.371728789834118e-10,9.371728789834118e-10,2.0553196021312813e-07,3.3650253072892156e-07
1782,8.660790560911988e-08,2.4251435145775498e-08,2.3292159312404692e-09,1.872493461872539e-09,7.448203323942185e-10,2.9063920996869843e-07,0.0,9.371728789834118e-10,0.0,2.2185097949188404e-08,1.872493461872539e-09,0.0,1.6819932113776304e-09,1.6819932113776304e-09,1.9258864572943173e-07,3.3917120743711037e-07
1783,7.695729387080519e-08,2.397255270482544e-08,3.0271412043703094e-09,9.353205828891272e-10,7.448203323942185e-10,2.552673247383349e-07,0.0,0.0,0.0,2.3580948495448084e-08,1.6332458560189674e-09,0.0,7.448203323942185e-10,7.448203323942185e-10,2.0365636389994635e-07,3.5510458319874617e-07
1784,1.1002540998918318e-07,2.571352121703642e-08,4.593498533925608e-09,0.0,7.448203323942185e-10,2.636730250011559e-07,0.0,1.566357329555298e-09,0.0,3.062955628812298e-08,6.979252731298402e-10,0.0,7.448203323942185e-10,7.448203323942185e-10,1.933280405605079e-07,3.1596107622330495e-07
1785,1.1162453006363648e-07,3.8704780840654555e-08,4.593498533925608e-09,0.0,7.448203323942185e-10,3.3097882123911404e-07,0.0,1.566357329555298e-09,0.0,9.997269044349975e-09,1.3297202704011723e-09,0.0,7.06277043199017e-09,7.448203323942185e-10,2.170399854760165e-07,3.3169646128174334e-07
1786,1.2870596119033246e-07,5.0847524793847954e-08,4.593498533925608e-09,6.390917636370627e-10,7.448203323942185e-10,3.6675908989179463e-07,0.0,2.205449093192361e-09,0.0,1.0636360807987039e-08,1.3297202704011723e-09,3.451095510951875e-08,7.06277043199017e-09,7.448203323942185e-10,1.9842761491060757e-07,3.556249907887832e-07
1787,1.4700732314005499e-07,5.106016460436942e-08,3.2810249120781722e-09,1.1474629183335798e-09,7.448203323942185e-10,4.0410158216478263e-07,0.0,2.205449093192361e-09,0.0,9.591921257268154e-09,2.854833766211381e-09,3.501932626421527e-08,7.06277043199017e-09,7.448203323942185e-10,1.9843743461121578e-07,3.7080285559503476e-07
