Year,coal_by_water,coal_by_steam,fire_engine,steam_engine,canal
1748,0.0,0.00025398975392123993,6.81017457030261e-08,1.3684930014587084e-09,3.5280336305731907e-06
1749,0.0021313326172610896,0.00025398975392123993,9.627537015230053e-08,1.3684930014587084e-09,3.1571519879694928e-06
1750,0.0021313326172610896,0.00025398975392123993,1.010592128076431e-07,1.3684930014587084e-09,3.283440589387153e-06
1751,0.0021313326172610896,0.0015396243734316717,1.2181126101446745e-07,8.295473133809343e-09,3.4734488443583748e-06
1752,0.0021313326172610896,0.0015396243734316717,1.1743571600878309e-07,8.295473133809343e-09,3.3290276795534216e-06
1753,0.06341433341800393,0.0015396243734316717,1.1170294784384233e-07,8.295473133809343e-09,3.853541069734742e-06
1754,0.06341433341800393,0.0015205786677885873,1.6764114439484145e-07,8.192855156201923e-09,4.182904961323532e-06
1755,0.06341433341800393,0.002769263775761767,1.6119238743783629e-07,1.4920751872133612e-08,4.302870300827115e-06
1756,0.06128300080074283,0.002769263775761767,1.8177857263879105e-07,1.4920751872133612e-08,4.895138934963532e-06
1757,0.06128300080074283,0.00413470863936906,1.94861720917824e-07,2.2277748407922056e-08,5.229952778660975e-06
1758,0.06128300080074283,0.003263308480093709,1.719633058172576e-07,1.7582657361815893e-08,5.083938601403913e-06
1759,0.06128300080074283,0.003710485370457994,1.853040471542857e-07,1.9992039769687964e-08,6.652762879509412e-06
1760,0.0,0.003889122033622804,1.966194318470116e-07,2.0954531443351243e-08,6.572398043707446e-06
1761,0.05307878550797101,0.004436603833896625,1.711356988818937e-07,2.073959435934723e-08,6.718866513568043e-06
1762,0.05446089484632507,0.0031879187259234456,1.7890290645742167e-07,1.4011697643415542e-08,7.415732592822419e-06
1763,0.05446089484632507,0.0031879187259234456,1.3868572880580488e-07,1.4011697643415542e-08,8.629338026366895e-06
1764,0.05446089484632507,0.0020261807001540864,1.548433894121055e-07,7.752270508072051e-09,1.0857206299468608e-05
1765,0.05446089484632507,0.0016119462399190054,1.675926110270406e-07,5.520381421827583e-09,1.2308258452061896e-05
1766,0.05446089484632507,0.0011647693495547198,1.7264039594725285e-07,3.110999013955506e-09,1.1227454251638846e-05
1767,0.05446089484632507,0.0009861326863899106,1.7185867205528537e-07,2.1485073402922286e-09,1.1093260841984634e-05
1768,0.04587692443058877,0.009667916716430561,1.4452410519132694e-07,2.9764627207384823e-08,1.254280940494417e-05
1769,0.04449481509223471,0.029013123775625777,1.3838759725461257e-07,9.111103148131049e-08,1.43589782055642e-05
1770,0.06313361998951283,0.03260337425968948,1.372779776837823e-07,9.94731703991241e-08,1.3245879992090132e-05
1771,0.06313361998951283,0.032584206239604334,1.1617912777848819e-07,9.936989339312926e-08,1.1360378201581106e-05
1772,0.06313361998951283,0.033853680215925545,9.455172746340525e-08,1.0499899362668789e-07,1.0473071272697e-05
1773,0.06313361998951283,0.03401060448782822,1.3725587980470018e-07,1.0584449926044825e-07,1.0286504545677286e-05
1774,0.06313361998951283,0.034712649728478616,1.3965947839470312e-07,1.096271085338734e-07,1.0440284638337158e-05
1775,0.03675677393709661,0.025416065293166337,2.1588048174489165e-07,8.186321411228294e-08,9.02779304721792e-06
1776,0.055556992681360697,0.009082430589944564,2.1538034796922799e-07,2.707701999124116e-08,7.41491982937857e-06
1777,0.05568124841959999,0.006186555143041471,2.116886178730023e-07,2.2456163404984053e-08,7.659434621538302e-06
1778,0.05568124841959999,0.00640510203842682,2.085360057334031e-07,2.363369081389725e-08,7.707430086156819e-06
1779,0.05568124841959999,0.005135628062105604,2.2033642948266726e-07,1.8004590580338638e-08,7.406460814049101e-06
1780,0.1605229434823887,0.005411001931716695,1.5692350707752214e-07,1.9488300877818735e-08,7.653332561728479e-06
1781,0.1605229434823887,0.006462656229600336,1.721855326256413e-07,2.5154598531124913e-08,7.976094301349284e-06
1782,0.18002295088642523,0.007720824071897549,8.660790560911988e-08,2.4251435145775495e-08,8.461001081221703e-06
1783,0.19263745315650838,0.0058750544479455056,7.69572938708052e-08,2.397255270482544e-08,8.488755091613192e-06
1784,0.24437861469378985,0.00619817496338092,1.1002540998918319e-07,2.571352121703642e-08,8.685672907761597e-06
1785,0.24437861469378985,0.018938077670188454,1.1162453006363648e-07,3.8704780840654555e-08,8.700513262738241e-06
1786,0.257199157438334,0.02119174834684721,1.2870596119033246e-07,5.0847524793847954e-08,9.23524034338438e-06
1787,0.20832085601413153,0.021231213899897638,1.47007323140055e-07,5.1060164604369424e-08,9.69406807728644e-06
1788,0.20832085601413153,0.02025908485393182,1.247248947931569e-07,4.5822347820896025e-08,1.0423039124621676e-05
1789,0.17070287957027652,0.021217616676354564,1.354761940725829e-07,5.8669055899177435e-08,1.1047769865919173e-05
1790,0.14971129707007663,0.02259134569131446,1.5605030004702973e-07,6.31299020678203e-08,1.1688177827246754e-05
1791,0.08032739644629656,0.024645788325172335,1.344857573875353e-07,7.419920830134939e-08,1.2060310447330786e-05
1792,0.1075778976185788,0.013222923587781911,1.3817395024976318e-07,6.830412959045264e-08,1.3240182462530875e-05
1793,0.17121014827893322,0.014008332198474879,1.2043527521297749e-07,6.386756824992649e-08,1.4008111975272186e-05
1794,0.1152467546403469,0.0169587926452341,1.3938047414642698e-07,7.976460507969869e-08,1.5634182221089888e-05
1795,0.11774116185763535,0.024910629290309873,1.4780524030097046e-07,1.0125308236297317e-07,1.603810298027903e-05
1796,0.1825230660965786,0.026132960107481475,1.511372045927471e-07,1.034283277436186e-07,1.6458500145485493e-05
1797,0.20222657519579454,0.032753112692777454,1.430302469478712e-07,1.120811283783496e-07,1.6565461269887498e-05
1798,0.2320289248838421,0.04063501428077479,1.662876637656804e-07,1.3439507335582285e-07,1.7114357433456462e-05
1799,0.25794395466889447,0.04931063369793188,1.8111472042749354e-07,1.633377506899641e-07,1.7117693979733823e-05
1800,0.21188162553317674,0.05802769608576028,1.8692785935010242e-07,1.991498135924173e-07,1.7451733323728797e-05
1801,0.24304515237153446,0.06336128616833671,1.6212946718496826e-07,2.0837351704423265e-07,1.5891245571505612e-05
1802,0.3293831734209899,0.06994048749315696,1.580609268866543e-07,2.585639334386413e-07,1.5990756245238507e-05
1803,0.2907579397961062,0.07495349583896395,1.500294877538571e-07,2.873420714065235e-07,1.603923023399797e-05
1804,0.2752602973976237,0.09104010593653099,1.6514201714049446e-07,3.549804615334194e-07,1.6461847475771458e-05
1805,0.32367109368071756,0.09649726848890204,1.5314419852886986e-07,3.7388871427473145e-07,1.675155479980666e-05
1806,0.35820638684352313,0.11347685010435803,1.387312248571756e-07,4.293400012654404e-07,1.6417150618508458e-05
1807,0.3331763691657932,0.11479453260023519,1.2573683656163276e-07,4.372813232781222e-07,1.7246343434505563e-05
1808,0.38632460461971685,0.12494548228555742,1.236051890681925e-07,4.501299437314239e-07,1.7885662730675123e-05
1809,0.3206629911060833,0.14678800671393147,1.2674217535797133e-07,4.208920967942374e-07,1.7507366335069363e-05
1810,0.32552755449170384,0.2253409111311612,1.2808325473250598e-07,5.071283745954653e-07,1.8108903012554428e-05
1811,0.3871981892053228,0.32020375872620116,1.1687716749975154e-07,4.976547854442157e-07,1.7745513884749797e-05
1812,0.32709533607735275,0.41058978577134764,1.1074011244513064e-07,5.200615476042003e-07,1.748316598033333e-05
1813,0.2695343418501224,0.5404692679567777,1.0921094428795187e-07,5.153016177570992e-07,1.7834515087348075e-05
1814,0.31770585808105783,0.7928740760380153,1.1420162187343003e-07,5.814364669731731e-07,1.7917734891982817e-05
1815,0.48535849436400824,1.1217414264914327,1.3309915049473734e-07,6.831002882076323e-07,1.8653780898603145e-05
1816,0.4982437135179653,1.3091877946955166,1.3471384262077534e-07,7.314732053081181e-07,2.303019027749542e-05
1817,0.5490935695097076,1.457203321790807,1.387106911871732e-07,7.061159245885002e-07,2.251437685377563e-05
1818,0.568653015481741,1.7510452062313773,1.2893156662942472e-07,7.254757617504635e-07,2.311948602644926e-05
1819,0.565038494458667,1.8890482113288432,1.4122600638139765e-07,8.150165870444783e-07,2.3865519844028832e-05
1820,0.5867440667004301,1.9960587958290736,1.5134377256182626e-07,8.876321706858497e-07,2.5080740929947103e-05
1821,0.5898752735500485,2.0024929833950345,1.5344015175904652e-07,9.152165278335036e-07,2.532228843067839e-05
1822,0.40597646221590217,2.0412844291823338,1.4870613439045756e-07,1.0850844448993617e-06,2.930379715897808e-05
1823,0.4216548164825396,2.1479670902135264,1.405060327134119e-07,1.1581283437018492e-06,2.8035160149946546e-05
1824,0.4165425000444108,2.280507897866746,1.4879286323678441e-07,1.340614638983035e-06,3.070044476771727e-05
1825,0.4376691561785334,2.2818561239892023,1.641060295907794e-07,1.529676572837551e-06,3.507718533260881e-05
1826,0.5399113186839178,2.336537763811366,1.593296395136739e-07,1.5921250938585478e-06,3.8039637729525566e-05
1827,0.5868655824800384,2.3790896187280524,1.562278930984056e-07,1.6848619484984998e-06,4.150957855537334e-05
1828,0.6420134317166701,2.4635684012677532,1.7081313785638488e-07,1.7738076881609492e-06,4.509280812011899e-05
1829,0.7678070216676318,2.3310675890350443,1.671707963168956e-07,1.660073004521629e-06,4.465893809018391e-05
1830,0.9479194388366978,2.265416238632129,1.8297431633332707e-07,1.7362506891264014e-06,4.596151536264058e-05
1831,1.0435356406190486,2.1514219511419705,2.033283814333637e-07,1.6931651316554053e-06,4.722568493369701e-05
1832,1.0800132313969533,1.9456142556299134,2.0781873948700585e-07,1.648989658471172e-06,4.7333528657743174e-05
1833,1.0826048914556383,1.8921221447353869,2.03592833258881e-07,1.6599815190992168e-06,4.7952693941104894e-05
1834,1.0485720380154593,1.792043076019321,2.1681490482348765e-07,1.6081901321740588e-06,4.613971707710464e-05
1835,0.992981795783285,1.6579854918660748,2.1552564939091618e-07,1.5990335019263772e-06,4.485701772084992e-05
1836,0.8990919556924912,1.6048356233021133,2.2671230226478658e-07,1.613676918818133e-06,4.448350383816952e-05
1837,0.772199468412356,1.5191567356423523,2.453509974234943e-07,1.6081918374766246e-06,4.522603973912608e-05
1838,0.741335672103874,1.4512529001032917,2.203650422773405e-07,1.5486860677680982e-06,4.408642260906552e-05
1839,0.7700035787549865,1.4011886249407395,2.0869391497464157e-07,1.5069185142887624e-06,4.254356411235806e-05
1840,0.7461038730033501,1.2959588582908432,2.041390193393714e-07,1.4479145582819392e-06,4.088756603388382e-05
1841,0.8515863089953787,1.2149081474596033,1.966311568172127e-07,1.4425096748839548e-06,4.103814041757557e-05
1842,0.9013407987542806,1.1134582218609559,1.9527647257941035e-07,1.408433133422347e-06,4.0439518280826246e-05
1843,0.916346638945903,1.0527527684194589,1.8522261565781912e-07,1.443856003139185e-06,4.00177736342552e-05
1844,0.9129549300002758,1.021708862036898,1.649248702051409e-07,1.4713970456016663e-06,3.861860074851263e-05
1845,0.8692060839985126,0.9663259432263874,1.6563009808123755e-07,1.4979336810938548e-06,3.805280253540592e-05
1846,0.7769652318952756,0.9472360724927711,1.703076191818452e-07,1.5534043313891743e-06,3.704096317440937e-05
1847,0.8125789623490164,0.9488479209288894,1.7982321764975498e-07,1.6328363179647049e-06,3.6293105949880555e-05
1848,0.9088614156577041,0.9809893864882495,1.8138665731320153e-07,1.7230773567332238e-06,3.6024509816862906e-05
1849,0.9704042654651845,1.010359932013981,1.8376441955427124e-07,1.7831668596305202e-06,3.6002635170007125e-05
1850,1.0,1.0,1.885378558037181e-07,1.7959950225433983e-06,3.550068400467613e-05
1851,1.0359070306291136,0.9782422866478729,1.9791817708534965e-07,1.8044853667171471e-06,3.4271158386088375e-05
1852,1.0802735258631906,0.992494173461573,2.2364913832007005e-07,1.8678055409639323e-06,3.3843434721347876e-05
1853,1.131656498953221,0.9894453641370887,2.46583746437474e-07,1.911164872581139e-06,3.404174510381251e-05
1854,1.1550648115981323,0.9870959065615418,2.72002606850817e-07,1.97897082086586e-06,3.3828799132606946e-05
1855,1.298449918077361,0.9859366278161312,2.908916810286298e-07,1.989408539364896e-06,3.344636752444785e-05
1856,1.237268882514287,0.9861070492149007,3.0453255460218186e-07,2.0083187207222053e-06,3.262499714245288e-05
1857,1.4241884126359587,1.001054979915212,3.247747843358541e-07,2.080701376274062e-06,3.132808784097766e-05
1858,1.5635690535155555,1.037208342430336,3.37959664063549e-07,2.155303523717781e-06,3.029887635161036e-05
1859,1.9791792896831613,1.0651504734843396,3.5523626706890354e-07,2.277630983371637e-06,2.949813538829663e-05
1860,2.398145087214367,1.0637081050029282,3.585420894783705e-07,2.2709389213559916e-06,2.9306228887954993e-05
1861,2.8624056852569577,1.055622981424311,3.721394615955173e-07,2.2728773469030524e-06,2.8500570416716592e-05
1862,2.810920311497106,1.034352944711772,3.836948110347294e-07,2.2908818664291175e-06,2.7257284663002273e-05
1863,3.054119548202209,1.0141844840911338,4.17200713595126e-07,2.328552552301387e-06,2.746317607358963e-05
1864,3.0508572074814126,1.0033313146688574,4.313270786886798e-07,2.301701085473594e-06,2.782136237198886e-05
1865,2.9587259215042376,0.9682157432643868,4.3777868086181115e-07,2.2751050242472308e-06,3.073332456032014e-05
1866,2.6428231618526428,0.9356656366050524,4.304412552106182e-07,2.244626947296118e-06,3.193412963550405e-05
1867,2.2931121105656582,0.9171425962253524,4.2356669739872033e-07,2.2290219996128665e-06,3.1557100425873485e-05
1868,1.8572183148271566,0.9068376764615037,4.065593657287536e-07,2.182586350889843e-06,3.237651617382653e-05
1869,1.7164490522672735,0.8873605323307877,3.968081492595437e-07,2.18526325365279e-06,3.288539638950689e-05
1870,1.5999934151736632,0.8668715953565297,3.683942842209425e-07,2.143580104529974e-06,3.2922988663943086e-05
1871,1.5332863298908774,0.8431155048320099,3.705046854715225e-07,2.080219977480218e-06,3.3820966824090905e-05
1872,1.542604867734438,0.8131927186359403,3.691059232226378e-07,1.992501470989997e-06,3.178074933072951e-05
1873,1.4838399002932956,0.7785189993389507,3.72359612096521e-07,1.8860590021826544e-06,3.115825113906924e-05
1874,1.618633881921621,0.7677789596261749,3.7956214425451306e-07,1.8437545707326663e-06,3.113719399802254e-05
1875,1.6935717174378861,0.7540969416019648,3.827982319697705e-07,1.8026620084908375e-06,3.078317214593491e-05
1876,1.703670000802329,0.7490902684206223,3.739090500078289e-07,1.73598722800047e-06,3.08698776539781e-05
