chain,h,beta,se,p
canal→GDP per capita,11,-0.01929011431181482,0.012185801615160292,0.11342164479129065
canal→GDP per capita,12,-0.017333744481803415,0.012764262946726878,0.17446678164441398
canal→GDP per capita,13,-0.014788920792784188,0.013778951799022755,0.28313745229856946
canal→GDP per capita,14,-0.015158866205992567,0.015517809588483448,0.32863404034308086
canal→GDP per capita,15,-0.01371380551974809,0.015936794306699694,0.38950677553663304
canal→GDP per capita,16,-0.010583773767719948,0.01614457628521247,0.512105860612182
canal→GDP per capita,17,-0.008242590585045808,0.016703381878436948,0.6216816855527012
canal→GDP per capita,18,-0.004710421179490264,0.01733255358425912,0.7858009548943152
canal→GDP per capita,19,-0.004933603087205596,0.01722826812453392,0.7745972412798283
canal→GDP per capita,20,-0.002769828646468818,0.016978339523207712,0.8704090253101772
steam hp→GDP per capita,1,-0.12176754534920813,0.3895134205048854,0.754573556304203
steam hp→GDP per capita,2,-0.31670606789086186,0.46387770170463605,0.4947735936479797
steam hp→GDP per capita,3,-0.42285553852966523,0.5263003253260721,0.4217151879575052
steam hp→GDP per capita,4,-0.5097401382838287,0.5476984411594591,0.3520114157885694
steam hp→GDP per capita,5,-0.5938361692721278,0.5333898357966936,0.26556892921448816
steam hp→GDP per capita,6,-0.6619963027979185,0.6360725597241803,0.2979888276842274
steam hp→GDP per capita,7,-0.7597263778124774,0.7067379047896192,0.28238541536788586
steam hp→GDP per capita,8,-0.7810697347005062,0.7052903555648375,0.2681019119759175
steam hp→GDP per capita,9,-0.8024514556401678,0.7083169553979068,0.2572567380798957
steam hp→GDP per capita,10,-0.920096552535741,0.6994919747364088,0.18838280054390855
steam hp→GDP per capita,11,-1.0817512388988246,0.6255856758786913,0.08377659871055944
steam hp→GDP per capita,12,-0.9976052461846003,0.6071758007107104,0.100377683763113
steam hp→GDP per capita,13,-0.8182187844830784,0.5939816567516604,0.16835300628187355
steam hp→GDP per capita,14,-0.775794249931232,0.6974559061250003,0.266000528227631
