year,cc,lgdppc,lpop,ltot
1703,JPN,6.978247023269837,10.207045903448487,17.185292926718326
1703,NLD,8.114398311863951,7.554741692826204,15.669140004690156
1703,POL,6.898714534329988,8.713328328638138,15.612042862968126
1703,PRT,7.3609761111031755,7.613399104130323,14.974375215233499
1703,SWE,7.5443321080536885,7.1567160202539295,14.701048128307619
1704,BEL,7.6917257970886235,7.618921745605927,15.31064754269455
1704,CHN,7.3041492143834725,11.868860487138324,19.173009701521796
1704,DEU,7.391821764087537,9.632706092931782,17.02452785701932
1704,ESP,7.094971854846107,9.090103585925082,16.18507544077119
1704,FRA,7.5537179817208555,9.986969006031968,17.540686987752824
1704,GBR,7.9294865233142895,9.085711243508554,17.015197766822844
1704,IND,7.051149543980519,12.021580378818193,19.07272992279871
1704,ITA,7.811783716404681,9.50941030567634,17.32119402208102
1704,JPN,6.9782581168162165,10.20819715626916,17.186455273085375
1704,NLD,8.183177827258778,7.556452535383428,15.739630362642206
1704,POL,6.889591308354466,8.717932855447453,15.60752416380192
1704,PRT,7.339642963182738,7.617564652326404,14.957207615509141
1704,SWE,7.5480289699350145,7.162665693690064,14.710694663625079
1705,BEL,7.691514834343803,7.623426567121888,15.314941401465692
1705,CHN,7.294875024047996,11.87732336788807,19.172198391936067
1705,DEU,7.401840183802447,9.636931246143641,17.038771429946088
1705,ESP,7.059671986852532,9.092856461064796,16.152528447917327
1705,FRA,7.522283153591617,9.990096640938283,17.5123797945299
1705,GBR,7.874739125171811,9.093279201696138,16.96801832686795
1705,IND,7.049462445622685,12.023550285302061,19.073012730924745
1705,ITA,7.8119206446246015,9.512883053542964,17.324803698167564
1705,JPN,6.978269210362597,10.209348409089833,17.18761761945243
1705,NLD,8.348679607588618,7.5581633779406525,15.90684298552927
1705,POL,6.890609120147166,8.72253738225677,15.613146502403936
1705,PRT,7.4112811046163936,7.621730200522484,15.033011305138878
1705,SWE,7.538494999413465,7.1686153671262,14.707110366539665
1706,BEL,7.691303871598982,7.627931388637849,15.31923526023683
1706,CHN,7.285600833712519,11.885786248637816,19.171387082350336
1706,DEU,7.422091016605378,9.641156399355499,17.063247415960877
1706,ESP,6.99636616625944,9.09560933620451,16.09197550246395
1706,FRA,7.581231135027369,9.9932242758446,17.57445541087197
1706,GBR,7.705262474866325,9.100847159883722,16.806109634750047
1706,IND,7.04777534726485,12.02552019178593,19.07329553905078
1706,ITA,7.812057572844522,9.516355801409588,17.32841337425411
1706,JPN,6.978280303908976,10.210499661910507,17.188779965819485
1706,NLD,8.271971698968713,7.559874220497877,15.83184591946659
1706,POL,6.897704943128636,8.727141909066084,15.62484685219472
